window,start_date,end_date,MAE,RMSE,MAPE
1,2024-03-25,2024-05-13,22.464719022635155,33.313000470064736,12.097427501053287
2,2024-05-20,2024-07-08,16.948827789271082,26.199275932055265,9.19985497967781
3,2024-07-15,2024-09-02,20.41877024091089,30.216781345280737,13.066217610562841
4,2024-09-09,2024-10-28,22.629417966344086,33.64702994626767,14.839460544491361
5,2024-11-04,2024-12-23,22.252716979477892,32.565133639129606,13.474784535573486
