window,site_id,MAE,RMSE,MAPE,meets_15_percent_target
1,SITE_001,25.190852348813493,32.86254477040803,12.51886671305525,True
1,SITE_002,0.4785999002278629,0.9281227794991409,0.5277796036968171,True
1,SITE_003,42.2595725351841,53.48730981510825,19.982530781953272,False
1,SITE_004,1.1830674744651102,1.2607532784957094,1.388720481320898,True
1,SITE_005,26.123972039180135,29.108401541207037,12.398567518187773,True
1,SITE_006,27.27421676930112,32.658844843569405,16.048286095385002,False
1,SITE_007,49.56056643991823,61.66171572856286,22.76321324245359,False
1,SITE_008,41.16995052790452,42.99376565765648,20.845840596287772,False
1,SITE_009,0.8618880560936955,0.979394780469598,0.9885519135112317,True
1,SITE_010,18.321578954055322,21.52786559358808,9.035822241742993,True
1,SITE_011,29.33482261381439,37.86310577079727,12.87194000052027,True
1,SITE_012,0.8437529175692404,1.142470269582103,1.1657457092533616,True
1,SITE_013,29.57676114454986,36.61187857339365,18.837608947601044,False
1,SITE_014,19.916131118270023,25.371165629955705,13.101300180589707,True
1,SITE_015,0.3934609769321167,0.5126423268458653,0.4195814411790611,True
1,SITE_016,30.719229354106375,37.60700972910521,17.087715292613087,False
1,SITE_017,33.43654072601554,40.94360824406759,17.9809954475415,False
1,SITE_018,15.497956905883175,19.798017267818725,7.576800819106539,True
1,SITE_019,0.5599454307713501,0.9127111218310021,0.7515758129834049,True
1,SITE_020,30.548430091970964,33.38135731821916,16.413890870938054,False
1,SITE_021,28.571687041107182,35.63028118808808,13.606669133263766,True
1,SITE_022,24.202138042005384,26.209879140429564,11.661134157033832,True
1,SITE_023,2.569582264144872,2.583469769693745,2.9062971055980067,True
1,SITE_024,18.205407990914612,23.14650505232605,10.4900192647552,True
1,SITE_025,28.35870660981727,39.34452693230657,14.023747920273294,True
1,SITE_026,29.400326644728437,32.67635269925853,15.515878929232246,False
1,SITE_027,0.13075757638574004,0.15182619655510066,0.16251858723680615,True
1,SITE_028,21.58904222215826,24.09126997008344,16.61370602221553,False
1,SITE_029,1.0885225726357772,1.1053525701348599,1.2930612518594171,True
1,SITE_030,18.77916354191919,21.57581852706908,9.565326468957748,True
2,SITE_001,34.42695204492449,36.973762552598885,19.359634331986683,False
2,SITE_002,0.2140316978627963,0.2803384929178997,0.2612164821361636,True
2,SITE_003,26.549582892141377,32.10833995812578,12.148910682505116,True
2,SITE_004,0.33687925036634336,0.4133170729556884,0.473463976895901,True
2,SITE_005,16.984584465295413,20.32189140187223,7.905736936670213,True
2,SITE_006,35.82429029239997,47.03875768771909,25.90383825916911,False
2,SITE_007,30.718290593075793,35.49339368859195,16.06531583376042,False
2,SITE_008,18.626540184590766,27.110954856074247,8.31503512937709,True
2,SITE_009,0.4381342842546143,0.5208856238647366,0.4530581852957462,True
2,SITE_010,15.516666387584017,22.527258433907512,8.352806229450374,True
2,SITE_011,22.898422204887783,27.332136091926053,10.146835491144694,True
2,SITE_012,0.6094313392690376,0.8191487799659911,0.6935651562120559,True
2,SITE_013,25.02010524936449,32.475485290564,15.189547475395235,False
2,SITE_014,21.166516069160757,23.299440026735525,10.205401927631172,True
2,SITE_015,0.45321316550373325,0.576537162034798,0.5738873518927488,True
2,SITE_016,16.37894892950646,18.637021724363198,16.19540244698427,False
2,SITE_017,30.654122838121374,36.6347580523165,13.850402648470132,True
2,SITE_018,28.468083771243922,34.32136941349695,14.817560602471502,True
2,SITE_019,1.049288590648323,1.813050213181883,1.339582949629746,True
2,SITE_020,25.911399845814174,33.31181386827306,13.445086222595206,True
2,SITE_021,19.931799330768442,27.941997965857503,12.04156894972408,True
2,SITE_022,22.210245178662355,29.006535425855567,10.259203328819217,True
2,SITE_023,0.41858333061991626,0.4552825795280316,0.6001547735479507,True
2,SITE_024,19.2505309475067,21.187798005324296,8.01110380831313,True
2,SITE_025,30.416205618730967,41.433723564892844,14.649822055893841,True
2,SITE_026,27.694796963375786,31.541879218173236,11.81799773960363,True
2,SITE_027,0.18230385501535906,0.19701687510849145,0.2528577158845721,True
2,SITE_028,31.08366716548958,35.55268873228273,17.369166550935766,False
2,SITE_029,0.5928421498087895,1.112997764374524,0.7512647613914846,True
2,SITE_030,25.117984546473245,34.70656739215563,14.30503110099207,True
3,SITE_001,26.145374011437,32.57421670148026,11.946526012566322,True
3,SITE_002,4.8855460898212595,6.168384006550238,6.139570691831323,True
3,SITE_003,23.036510548157548,26.085539194213325,12.475693330391364,True
3,SITE_004,3.2659849933319958,3.6521962264963275,4.440377513385664,True
3,SITE_005,26.06623380085172,31.73823506011554,12.659598451602461,True
3,SITE_006,37.2118907715826,46.40818517574145,23.03689376598176,False
3,SITE_007,22.206085756877286,26.90327572073031,9.883600126395239,True
3,SITE_008,43.52932662987041,53.80334676339898,28.195406418791013,False
3,SITE_009,5.377762749377235,7.199739017908137,7.6803985947260385,True
3,SITE_010,26.494352274100937,31.747087084239272,14.751725925744468,True
3,SITE_011,13.423526537777377,17.264863603408735,6.087109334369031,True
3,SITE_012,4.589285491109996,5.710521528167144,6.511793329381568,True
3,SITE_013,18.600887129899604,20.803602820519966,10.066668489545446,True
3,SITE_014,45.92176577765437,73.57002122828123,29.334808721737065,False
3,SITE_015,4.807678561389135,5.793784885395554,6.461570717986739,True
3,SITE_016,37.40308565171968,44.533334813611255,38.43264951979079,False
3,SITE_017,25.795096867225418,27.61033663247289,13.09627737725405,True
3,SITE_018,24.616161660242252,30.56832577978559,11.749192177096358,True
3,SITE_019,1.9895359459224116,2.3436933658825563,2.8655535941900085,True
3,SITE_020,33.5182864682329,37.356977424616026,18.156487125965835,False
3,SITE_021,28.15569584648172,32.91274193972015,13.062090666805343,True
3,SITE_022,22.71688838068023,24.1674734658848,11.940813093608375,True
3,SITE_023,3.6122716021105017,4.717770779488249,4.738050701289847,True
3,SITE_024,27.165002263984942,32.617742207357786,17.947662870714595,False
3,SITE_025,13.516652364362699,17.920779419327992,6.820339111337619,True
3,SITE_026,16.90600610512702,18.823144512073508,6.807010854772447,True
3,SITE_027,4.562817099618236,5.608569422964659,5.259303709624996,True
3,SITE_028,11.858738321349183,14.817657080643878,9.051739198472628,True
3,SITE_029,2.5752754548652375,3.3594682942873435,3.7183210072359056,True
3,SITE_030,19.886894339832786,26.67963195021718,10.528639424173997,True
4,SITE_001,27.800785262369278,31.022523048777273,14.509925265111756,True
4,SITE_002,3.543865641912589,4.231327353757175,4.653552149175635,True
4,SITE_003,39.643856612168946,46.262816657701144,22.347658596308506,False
4,SITE_004,5.533957073061193,7.386753631228489,7.845812657373514,True
4,SITE_005,35.34774783465468,45.58154512897429,22.486333397939397,False
4,SITE_006,5.7590432797302675,7.598057631747483,4.282049364222046,True
4,SITE_007,13.586295082928967,15.80378434281063,6.35845572448202,True
4,SITE_008,29.248198385240553,35.413133970467385,15.43060029382097,False
4,SITE_009,3.9014371910092596,4.752043388854686,5.326231261119102,True
4,SITE_010,32.86542687858365,41.0641345561598,14.3399028341121,True
4,SITE_011,26.091784970163165,30.12747104573625,14.140834117750757,True
4,SITE_012,3.257334315066137,3.8744011543327193,4.620522916003823,True
4,SITE_013,10.20168129343329,13.674234285093966,5.510773458151401,True
4,SITE_014,28.77540359998422,43.964993470606686,17.557377804301808,False
4,SITE_015,4.023239198683288,4.837305295065876,5.990384871045896,True
4,SITE_016,25.668929783976626,30.96325748283443,15.179931127422336,False
4,SITE_017,41.40233821713864,43.941976333935344,25.024680613047607,False
4,SITE_018,31.29100646819763,37.09067207888038,18.696118680207505,False
4,SITE_019,3.8710250568392377,5.402277288234633,4.940030388233949,True
4,SITE_020,30.398776063047652,34.41776402531853,13.354002634888001,True
4,SITE_021,33.05316797611157,42.581483314633566,21.635375143810933,False
4,SITE_022,19.916217739382706,27.128156663394556,12.346981376140429,True
