window,start_date,end_date,MAE,RMSE,MAPE
1,2024-03-25,2024-05-13,19.871554360541264,29.52462727340489,10.618123085402278
2,2024-05-20,2024-07-08,17.638148113502666,26.523619261965514,9.525148641330098
3,2024-07-15,2024-09-02,19.328020649833125,29.05507400806598,12.128195728558943
4,2024-09-09,2024-10-28,18.928786411007657,28.246335712542777,12.132225572019456
5,2024-11-04,2024-12-23,21.12736552482868,29.964098816194845,12.382527181544306
